Field,Ed-Fi Entity,Ed-Fi Attribute,Description,Ed-Fi Notes,Sample Data,Format,Required Field,Logic,Remarks
STUDENT_ID,Student,StudentUniqueId,Unique identifier assigned to each student.,,1,,,,
SAC_TERM,Session,Term,"Academic term (e.g., Fall 2024) associated with the course enrollment.",,2024FA,,,,
DUAL_CREDIT_ENRL,StudentSectionAssociation.,DualCredit,Indicates if the student is enrolled in a dual credit course.,,DC,DC or Null,,,
SAC_COURSE_NAME,Course,courseTitle,Full name or title of the course.,,EDUC-1300,,,,
SECTION_SECTION_NUMBER,Section,SectionName,Code identifying the specific course section.,,21G08,,,,
SECTION_TITLE,Section,sectionIdentifier,Title or description of the specific course section.,,Learning Framework,,,,
SECTION_SCHEDULE_TYPE_DESC,Section,"EducationalEnvironment or 
MediumOfInstruction","Description of the course's schedule type (e.g., Lecture, Lab, Online).",,Early College,"SECTION_SCHEDULE_TYPE_DESC
 Blended - 50% Or Less Online
 Collegiate Academy
 Day
 Distance Learning
 Dual Credit
 Dual Credit Distance Learning
 Early College
 Early College Dist Learning
 Flex - Day
 Flex - Night
 Flex Blend
 Flex Distance Learning
 Flex Hybrid
 Hybrid - 51% to 84% Online
 Night
 Weekend",,,
SECTION_COURSE_TYPE_DESC,course,description,"Description of the course type (e.g., Core, Elective).",,General Academic,"SECTION_COURSE_TYPE_DESC
 CE - WECM
 CE workforce-Not Funded
 General Academic
 Regular Technical
 Technical - WECM",,,
SAC_REG_CRED,coursetranscript,attemptedcredits,Number of credits the student registered for.,,300,,,,
SAC_CMPL_CRED,coursetranscript,earnedcredits,Number of credits the student completed.,,300,,,,
SECTION_CEUS,section,custom: ceusavailable,Continuing Education Units assigned to the course section.,,,,,,
SAC_CEUS,coursetranscript,custom: ceusattempted,Continuing Education Units the student registered for.,,,,,,
SAC_CMPL_CEUS,coursetranscript,custom: ceusearned,Continuing Education Units the student completed.,,,,,,
