Field,Description,Identity,Required,Sample,Format,Field Format (Regex),Explanation,Notes
STUDENT_ID,Unique identifier assigned to each student.,,,1,,,,
ENROLLED_2018FA,Enrollment status for Fall 2018.,,,,(Enrolled/Not Enrolled),,,
ENROLLED_2019SP,Enrollment status for Spring 2019.,,,,,,,
ENROLLED_2019SU,Enrollment status for Summer 2019.,,,,,,,
ENROLLED_2019FA,Enrollment status for Fall 2019.,,,NOT ENROLLED,,,,
ENROLLED_2020SP,Enrollment status for Spring 2020.,,,NOT ENROLLED,,,,
ENROLLED_2020SU,Enrollment status for Summer 2020.,,,NOT ENROLLED,,,,
ENROLLED_2020FA,Enrollment status for Fall 2020.,,,NOT ENROLLED,,,,
ENROLLED_2021SP,Enrollment status for Spring 2021.,,,NOT ENROLLED,,,,
ENROLLED_2021SU,Enrollment status for Summer 2021.,,,NOT ENROLLED,,,,
ENROLLED_2021FA,Enrollment status for Fall 2021.,,,NOT ENROLLED,,,,
ENROLLED_2022SP,Enrollment status for Spring 2022.,,,ENROLLED,,,,
ENROLLED_2022SU,Enrollment status for Summer 2022.,,,NOT ENROLLED,,,,
ENROLLED_2022FA,Enrollment status for Fall 2022.,,,NOT ENROLLED,,,,
ENROLLED_2023SP,Enrollment status for Spring 2023.,,,NOT ENROLLED,,,,
ENROLLED_2023SU,Enrollment status for Summer 2023.,,,NOT ENROLLED,,,,
ENROLLED_2023FA,Enrollment status for Fall 2023.,,,ENROLLED,,,,
ENROLLED_2024SP,Enrollment status for Spring 2024.,,,ENROLLED,,,,
ENROLLED_2024SU,Enrollment status for Summer 2024.,,,NOT ENROLLED,,,,
ENROLLED_2024FA,Enrollment status for Fall 2024.,,,NOT ENROLLED,,,,
ENROLLED_2025SP,Enrollment status for Spring 2025.,,,NOT ENROLLED,,,,
DROPPED_ALL_DATE_2025SP,Date student dropped all courses in Spring 2025.,,,,,,,
MOST_RECENT_DROPPED_CREDIT_DATE,Most recent date a student dropped a credit course.,,,,,,,
AWARD_ID,Identifier for an award or credential earned.,,,NO PROM8 AWARD,,,,
MULTIPLE_COLLEGE_ATTENDING_FLAG,Indicates if the student is attending multiple colleges/Campus,,,,Y/N,,,
LOCATIONS,Locations or campuses where the student is enrolled.,,,,Numerical values,,,
EARLIEST_STATUS_DATE_2025SP,Earliest status update date for Spring 2025.,,,,"When they strted enrollment cycle, when they first show up",,,
DROPPED_CREDIT_AFTER_CENSUS_FLAG_2025SP,Indicates if the student dropped credit hours after census in Spring 2025.,,,,Have they dropped a course during the semester,,,
TAKING_DEV_CREDS_2025SP,Indicates if the student is taking developmental credits in Spring 2025.,,,N,Math or english develomental courses,,,
BH_CRED_2025SP,Credit hours taken at BH campus in Spring 2025.,,,,Credit hours,,,
CV_CRED_2025SP,Credit hours taken at CV campus in Spring 2025.,,,,,,,
EF_CRED_2025SP,Credit hours taken at EF campus in Spring 2025.,,,,,,,
EC_CRED_2025SP,Credit hours taken at EC campus in Spring 2025.,,,,,,,
MV_CRED_2025SP,Credit hours taken at MV campus in Spring 2025.,,,,,,,
NL_CRED_2025SP,Credit hours taken at NL campus in Spring 2025.,,,,,,,
RL_CRED_2025SP,Credit hours taken at RL campus in Spring 2025.,,,,,,,
TOT_ENR_CRH,Total enrolled credit hours (Current terms).,,,,,,,
TOT_CRH_AFTER_DROP,Total credit hours after drops (Current terms).,,,,"Carrying forward after dropping the course, credit hours accumulation after drop",,,
2025SP_CE_COURSE_COUNT,Number of Continuing Education (CE) courses taken in Spring 2025.,,,,Number - (1 to 4),,,
2018FA_DEV_CREDS,Developmental credits earned in Fall 2018.,,,,,,,
2018FA_COLLEGE_CREDS,College-level credits earned in Fall 2018.,,,,,,,
2019SP_DEV_CREDS,Developmental credits earned in Spring 2019.,,,,,,,
2019SP_COLLEGE_CREDS,College-level credits earned in Spring 2019.,,,,,,,
2019SU_DEV_CREDS,Developmental credits earned in Summer 2019.,,,,,,,
2019SU_COLLEGE_CREDS,College-level credits earned in Summer 2019.,,,,,,,
