field,edfi_entity,edfi_attribute
STUDENT_ID,Student,StudentUniqueId
ENROLLED_2018FA,StudentSchoolAssociation,EntryDate
ENROLLED_2019SP,StudentSchoolAssociation,EntryDate
ENROLLED_2019SU,StudentSchoolAssociation,EntryDate
ENROLLED_2019FA,StudentSchoolAssociation,EntryDate
ENROLLED_2020SP,StudentSchoolAssociation,EntryDate
ENROLLED_2020SU,StudentSchoolAssociation,EntryDate
ENROLLED_2020FA,StudentSchoolAssociation,EntryDate
ENROLLED_2021SP,StudentSchoolAssociation,EntryDate
ENROLLED_2021SU,StudentSchoolAssociation,EntryDate
ENROLLED_2021FA,StudentSchoolAssociation,EntryDate
ENROLLED_2022SP,StudentSchoolAssociation,EntryDate
ENROLLED_2022SU,StudentSchoolAssociation,EntryDate
ENROLLED_2022FA,StudentSchoolAssociation,EntryDate
ENROLLED_2023SP,StudentSchoolAssociation,EntryDate
ENROLLED_2023SU,StudentSchoolAssociation,EntryDate
ENROLLED_2023FA,StudentSchoolAssociation,EntryDate
ENROLLED_2024SP,StudentSchoolAssociation,EntryDate
ENROLLED_2024SU,StudentSchoolAssociation,EntryDate
ENROLLED_2024FA,StudentSchoolAssociation,EntryDate
ENROLLED_2025SP,StudentSchoolAssociation,EntryDate
DROPPED_ALL_DATE_2025SP,StudentSchoolAssociation,ExitWithdrawDate
MOST_RECENT_DROPPED_CREDIT_DATE,StudentCourseTranscript,WithdrawDate
AWARD_ID,StudentAcademicRecord,CertificateAwardDate
MULTIPLE_COLLEGE_ATTENDING_FLAG,,
LOCATIONS,School,SchoolId
EARLIEST_STATUS_DATE_2025SP,StudentSchoolAssociation,EntryDate
DROPPED_CREDIT_AFTER_CENSUS_FLAG_2025SP,,
TAKING_DEV_CREDS_2025SP,StudentCourseTranscript,DevelopmentalCourseIndicator
BH_CRED_2025SP,StudentCourseTranscript,AttemptedCredits
CV_CRED_2025SP,StudentCourseTranscript,AttemptedCredits
EF_CRED_2025SP,StudentCourseTranscript,AttemptedCredits
EC_CRED_2025SP,StudentCourseTranscript,AttemptedCredits
