field,mapped_table,mapped_column,possible_other_options
Last Name,assessmentadministrationparticipationadministrationpoint_c63833,lastsurname,"[('contactothername', 'lastsurname'), ('disciplineincidentexternalparticipant', 'lastsurname'), ('staffothername', 'lastsurname'), ('studentothername', 'lastsurname')]"
First Name,assessmentadministrationparticipationadministrationpoint_c63833,firstname,"[('contactothername', 'firstname'), ('disciplineincidentexternalparticipant', 'firstname'), ('staffothername', 'firstname'), ('studentothername', 'firstname')]"
Last Updated (CT),ccmr,lastmodifieddate,"[('corecredits', 'lastmodifieddate'), ('cte', 'lastmodifieddate'), ('enrollments', 'lastmodifieddate'), ('studentassessmentscoreresult', 'createdate'), ('studentindicator', 'lastmodifieddate'), ('task', 'lastmodifieddate'), ('transcripts', 'lastmodifieddate')]"
School Org Number,assessmentsection,schoolid,"[('coursetranscriptsection', 'schoolid'), ('disciplineincidentbehavior', 'schoolid'), ('educationorganizationidentificationcode', 'identificationcode'), ('gradelearningstandardgrade', 'schoolid'), ('school', 'schoolid'), ('staffeducationorganizationcontactassociationaddress', 'educationorganizationid'), ('studentassessmentregistrationassessmentaccommodation', 'educationorganizationid'), ('studentschoolassociationeducationplan', 'schoolid')]"
Middle Initial,contactothername,middlename,"[('staffothername', 'middlename'), ('studentothername', 'middlename')]"
State Org Number,educationorganizationidentificationcode,identificationcode,"[('studentassessmentregistrationassessmentaccommodation', 'educationorganizationid')]"
District Org Number,educationorganizationidentificationcode,identificationcode,"[('localeducationagency', 'localeducationagencyid'), ('studentassessmentregistrationassessmentaccommodation', 'educationorganizationid')]"
ACT ID,staffidentificationcode,identificationcode,"[('studentassessmentitem', 'studentassessmentidentifier'), ('studentassessmentscoreresult', 'studentassessmentidentifier')]"
ACT composite score,studentassessmentitem,rawscoreresult,"[('studentassessmentscoreresult', 'result')]"
ACT math score,studentassessmentitem,rawscoreresult,"[('studentassessmentscoreresult', 'result')]"
ACT science score,studentassessmentitem,rawscoreresult,"[('studentassessmentscoreresult', 'result')]"
ACT STEM score,studentassessmentitem,rawscoreresult,"[('studentassessmentscoreresult', 'result')]"
ACT English score,studentassessmentitem,rawscoreresult,"[('studentassessmentscoreresult', 'result')]"
ACT reading score,studentassessmentitem,rawscoreresult,"[('studentassessmentscoreresult', 'result')]"
Test Date,studentassessmentstudentobjectiveassessment,administrationdate,"[('transcripts', 'transcriptdate')]"
