field,edfi_entity,edfi_attribute
PERSON_ID,Student,StudentUniqueId
HS_NAME,School,NameOfInstitution
ISD,LocalEducationAgency,NameOfInstitution
LAST_NAME,Contact,PreferredLastSurname
FIRST_NAME,Contact,PreferredFirstName
ADDRESS_LINE1,ContactInternationalAddress,AddressLine1
ADDRESS_LINE2,StudentInternationalAddress,AddressLine2
CITY,ContactAddress,City
STATE_CD,StaffAddress,StateAbbreviationDescriptorId
ZIP,ContactAddress,PostalCode
BIRTHDAY,Student,BirthDate
TERM,Course,SchoolYear
TOT_CRH_AFTER_DROP,Enrollment,TotalCreditHoursAttempted
DC_DESCR,StudentSectionAssociation,DualCreditInstitutionDescriptorId
WAIVER?,StudentIndicator,Indicator
LOC_NAME,Location,SchoolId
HS_INSTITUTION_ID,School,SchoolId
